frame_index,timestamp_ns,foreground_reference_mm,background_reference_mm,measured_gap_mm,foreground_bleeding_ratio,foreground_bleeding_max_distance_px,background_bleeding_ratio,background_bleeding_max_distance_px,mixed_ratio,peak_mixed_ratio,peak_mixed_distance_px,outlier_ratio,invalid_ratio,invalid_band_width_px,transition_width_px,nominal_edge_offset_px,analysis_status,transition_status
91,1785284692314990850,1945.0,2272.0,327.0,0.0,,0.021701388888888888,,0.13625,0.6041666666666666,0.0,0.0,0.0,0.0,5.409829059829061,-1.7115384615384615,ok,ok
92,1785284692346522746,1945.0,2276.0,331.0,0.0,,0.014756944444444444,,0.17291666666666666,0.7552083333333334,0.0,0.0,0.0,0.0,8.919887955182073,-1.843137254901961,ok,ok
93,1785284692379042588,1948.0,2272.0,324.0,0.0,,0.015625,,0.1425,0.6927083333333334,0.0,0.0,0.0,0.0,6.71910569105691,-1.4796747967479678,ok,ok
94,1785284692413413126,1948.0,2272.0,324.0,0.0,,0.011284722222222222,,0.19,0.7864583333333334,0.0,0.0,0.0,0.0,8.62952380952381,-1.7333333333333334,ok,ok
95,1785284692445905440,1948.0,2272.0,324.0,0.0,,0.016493055555555556,,0.13,0.7291666666666666,0.0,0.0,0.0,0.0,4.346666666666668,-1.5333333333333332,ok,ok
96,1785284692469455551,1948.0,2272.0,324.0,0.0,,0.018229166666666668,,0.11833333333333333,0.609375,0.0,0.0,0.0,0.0,5.432636596993033,-1.702970297029703,ok,ok
97,1785284692505476560,1945.0,2276.0,331.0,0.0,,0.018229166666666668,,0.19291666666666665,0.6770833333333334,0.0,0.0008333333333333334,0.0,0.0,9.482882882882883,-2.6415094339622645,ok,ok
98,1785284692546965415,1948.0,2272.0,324.0,0.0,,0.018229166666666668,,0.11833333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,5.0490395480225985,-1.5593220338983051,ok,ok
99,1785284692571197114,1948.0,2268.0,320.0,0.0,,0.020833333333333332,,0.15541666666666668,0.6197916666666666,0.0,0.0,0.0,0.0,7.3503575076608785,-2.2745098039215685,ok,ok
100,1785284692616561783,1948.0,2272.0,324.0,0.0,,0.011284722222222222,,0.18125,0.78125,0.0,0.0,0.0,0.0,7.050810810810811,-1.6396396396396398,ok,ok
101,1785284692649105678,1945.0,2272.0,327.0,0.0,,0.021701388888888888,,0.15,0.6354166666666666,0.0,0.0,0.0,0.0,8.34432748538012,-1.8947368421052633,ok,ok
102,1785284692680554618,1948.0,2272.0,324.0,0.0,,0.020833333333333332,,0.13375,0.6354166666666666,0.0,0.0,0.0,0.0,,,ok,nonmonotonic_crossing
103,1785284692705761582,1948.0,2272.0,324.0,0.0,,0.011284722222222222,,0.18291666666666667,0.78125,0.0,0.0008333333333333334,0.0,0.0,5.603272727272728,-1.8599999999999999,ok,ok
104,1785284692738402959,1948.0,2276.0,328.0,0.0,,0.013020833333333334,,0.17416666666666666,0.7604166666666666,0.0,0.0,0.0,0.0,6.519148936170213,-1.9148936170212765,ok,ok
105,1785284692782151176,1945.0,2276.0,331.0,0.0,,0.006944444444444444,,0.19041666666666668,0.8177083333333334,0.0,0.0,0.0,0.0,7.30485436893204,-1.7864077669902914,ok,ok
106,1785284692815032805,1948.0,2276.0,328.0,0.0,,0.013888888888888888,,0.21666666666666667,0.7291666666666666,0.0,0.0,0.0,0.0,,,ok,missing_crossing
107,1785284692837552744,1945.0,2272.0,327.0,0.0,,0.011284722222222222,,0.23791666666666667,0.75,0.0,0.00375,0.0,0.0,,,ok,missing_crossing
108,1785284692870128265,1945.0,2276.0,331.0,0.0,,0.006076388888888889,,0.2525,0.8177083333333334,0.0,0.004166666666666667,0.0,0.0,10.185645933014355,-2.909090909090909,ok,ok
109,1785284692915008913,1948.0,2276.0,328.0,0.0,,0.010416666666666666,,0.21875,0.7864583333333334,0.0,0.0,0.0,0.0,,,ok,missing_crossing
110,1785284692946697084,1945.0,2272.0,327.0,0.0,,0.017361111111111112,,0.17291666666666666,0.6770833333333334,0.0,0.0,0.0,0.0,,,ok,missing_crossing
111,1785284692981120354,1945.0,2279.0,334.0,0.0,,0.009548611111111112,,0.25125,0.7708333333333334,0.0,0.0,0.0,0.0,,,ok,missing_crossing
112,1785284693013966042,1945.0,2276.0,331.0,0.0,,0.008680555555555556,,0.17708333333333334,0.7864583333333334,0.0,0.0,0.0,0.0,6.628235294117647,-1.7843137254901962,ok,ok
113,1785284693047535366,1945.0,2276.0,331.0,0.0,,0.013020833333333334,,0.20291666666666666,0.71875,0.0,0.0,0.0,0.0,,,ok,missing_crossing
114,1785284693081082812,1945.0,2272.0,327.0,0.0,,0.011284722222222222,,0.16666666666666666,0.7083333333333334,0.0,0.00125,0.0,0.0,7.401769911504426,-1.5575221238938053,ok,ok
115,1785284693114457994,1945.0,2276.0,331.0,0.0,,0.012152777777777778,,0.2633333333333333,0.78125,0.0,0.0,0.0,0.0,,,ok,missing_crossing
116,1785284693148245281,1945.0,2276.0,331.0,0.0,,0.009548611111111112,,0.22166666666666668,0.828125,0.0,0.0,0.0,0.0,8.463776223776224,-2.984126984126984,ok,ok
117,1785284693180307886,1945.0,2276.0,331.0,0.0,,0.013020833333333334,,0.13958333333333334,0.734375,0.0,0.0,0.0,0.0,5.617931034482759,-1.5862068965517242,ok,ok
118,1785284693213719102,1945.0,2276.0,331.0,0.0,,0.008680555555555556,,0.22916666666666666,0.78125,0.0,0.0,0.0,0.0,,,ok,missing_crossing
119,1785284693242798640,1948.0,2276.0,328.0,0.0,,0.009548611111111112,,0.20666666666666667,0.7916666666666666,0.0,0.0,0.0,0.0,10.67851851851852,-1.7037037037037035,ok,ok
120,1785284693271867009,1945.0,2276.0,331.0,0.0,,0.006944444444444444,,0.22958333333333333,0.8385416666666666,0.0,0.0004166666666666667,0.0,0.0,9.53809523809524,-2.5500000000000003,ok,ok
121,1785284693305351584,1948.0,2276.0,328.0,0.002403846153846154,,0.011284722222222222,,0.14708333333333334,0.734375,0.0,0.0,0.0,0.0,3.8612477718360076,-1.5272727272727273,ok,ok
122,1785284693340715233,1945.0,2276.0,331.0,0.0,,0.016493055555555556,,0.11916666666666667,0.6927083333333334,0.0,0.0,0.0,0.0,3.9067990832696706,-1.5294117647058822,ok,ok
123,1785284693381269050,1948.0,2276.0,328.0,0.0,,0.019097222222222224,,0.11791666666666667,0.6354166666666666,0.0,0.0,0.0,0.0,5.608547008547009,-1.5042735042735043,ok,ok
